tweet_id,created_at,source,jpg_url,img_num,type,stage,name,rating_numerator,rating_denominator,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,Not Classified,Tilly,13,10,6514,33819
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,Not Classified,Archie,12,10,4328,25461
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,Not Classified,Franklin,12,10,9774,41048
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,Not Classified,None,13,10,3261,20562
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,Not Classified,Jax,13,10,2158,12041
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,Not Classified,None,13,10,16716,56848
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,Not Classified,Zoey,13,10,4429,28226
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,doggo,Cassie,14,10,7711,32467
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,Not Classified,Koda,13,10,7624,31166
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,Not Classified,Bruno,13,10,5156,28268
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,puppo,None,13,10,8538,38818
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,Not Classified,Ted,12,10,4735,27672
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,puppo,Stuart,13,10,2321,15359
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,Not Classified,Oliver,13,10,5637,25652
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,Not Classified,Jim,12,10,4709,29611
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever,Not Classified,Zeke,13,10,4559,26080
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,Not Classified,Ralphus,13,10,3732,20290
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,Not Classified,Gerald,12,10,3653,22201
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,Not Classified,Jeffrey,13,10,5609,30779
887473957103951883,2017-07-19 00:47:34+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,Not Classified,Canela,13,10,18781,69871
887343217045368832,2017-07-18 16:08:03+00:00,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican_hairless,Not Classified,None,13,10,10737,34222
887101392804085760,2017-07-18 00:07:08+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,Not Classified,None,12,10,6167,31061
886983233522544640,2017-07-17 16:17:36+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,Not Classified,Maya,13,10,8084,35859
886736880519319552,2017-07-16 23:58:41+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,Not Classified,Mingus,13,10,3443,12306
886366144734445568,2017-07-15 23:25:31+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French_bulldog,pupper,Roscoe,12,10,3316,21524
886258384151887873,2017-07-15 16:17:19+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1,pug,Not Classified,Waffles,13,10,6523,28469
885984800019947520,2017-07-14 22:10:11+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,Not Classified,Jimbo,12,10,7097,33382
885528943205470208,2017-07-13 15:58:47+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,Not Classified,Maisey,13,10,6683,36689
885167619883638784,2017-07-12 16:03:00+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,malamute,Not Classified,None,13,10,4556,22367
884925521741709313,2017-07-12 00:01:00+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,Italian_greyhound,Not Classified,Earl,12,10,16439,68152
884876753390489601,2017-07-11 20:47:12+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,chow,Not Classified,Lola,13,10,6096,28514
884562892145688576,2017-07-11 00:00:02+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,pug,Not Classified,Kevin,13,10,5100,24765
884441805382717440,2017-07-10 15:58:53+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,Pembroke,Not Classified,None,14,10,5856,27478
884162670584377345,2017-07-09 21:29:42+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,German_shepherd,doggo,Yogi,12,10,3128,20771
883838122936631299,2017-07-09 00:00:04+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,Doberman,Not Classified,Noah,12,10,3586,22349
883482846933004288,2017-07-08 00:28:19+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,golden_retriever,Not Classified,Bella,5,10,10407,46860
883360690899218434,2017-07-07 16:22:55+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,floofer,Grizzwald,13,10,3825,22986
883117836046086144,2017-07-07 00:17:54+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,golden_retriever,Not Classified,None,13,10,6949,37914
882992080364220416,2017-07-06 15:58:11+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1,Eskimo_dog,Not Classified,Rusty,13,10,4122,24445
882762694511734784,2017-07-06 00:46:41+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,Labrador_retriever,pupper,Gus,12,10,5134,28903
882627270321602560,2017-07-05 15:48:34+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,Pembroke,Not Classified,Stanley,13,10,6342,28382
882268110199369728,2017-07-04 16:01:23+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,golden_retriever,Not Classified,Alfy,13,10,12118,45880
881906580714921986,2017-07-03 16:04:48+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1,Weimaraner,Not Classified,Rey,12,10,3533,24773
881666595344535552,2017-07-03 00:11:11+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1,Saluki,Not Classified,Gary,13,10,11099,51522
881536004380872706,2017-07-02 15:32:16+00:00,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1,Samoyed,pupper,,14,10,16570,50199
880872448815771648,2017-06-30 19:35:32+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1,Pembroke,Not Classified,None,12,10,3989,21734
880465832366813184,2017-06-29 16:39:47+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,1,golden_retriever,Not Classified,Bella,12,10,6546,29075
880221127280381952,2017-06-29 00:27:25+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,1,Chihuahua,Not Classified,Jesse,12,10,4436,27640
880095782870896641,2017-06-28 16:09:20+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,1,miniature_pinscher,Not Classified,None,11,10,4533,28150
879862464715927552,2017-06-28 00:42:13+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,3,basset,Not Classified,Romeo,13,10,3642,22667
879492040517615616,2017-06-27 00:10:17+00:00,Twitter for iPhone,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1,German_short-haired_pointer,Not Classified,Bailey,12,10,3323,23822
879415818425184262,2017-06-26 19:07:24+00:00,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,1,English_springer,Not Classified,Duddles,13,10,45849,107956
